id,type,address,number,postal_code,municipality,province,location,public,available,hours,Latitude,Longitude
9551.0,,Avenue Einstein,8.0,1300.0,Wavre,Brabant Wallon,,,,,50.7306438,4.5879031
9552.0,,Avenue Einstein,6.0,1300.0,Wavre,Brabant Wallon,,,,,50.7304959,4.5887531
9553.0,,Avenue Einstein,8.0,1300.0,Wavre,Brabant Wallon,,,,,50.7306438,4.5879031
9554.0,,Avenue Einstein,8.0,1300.0,Wavre,Brabant Wallon,,,,,50.7306438,4.5879031
9555.0,,Avenue Pasteur,23.0,1300.0,Wavre,Brabant Wallon,,,,,50.7304356,4.5897306
9556.0,,Avenue Pasteur,23.0,1300.0,Wavre,Brabant Wallon,,,,,50.7304356,4.5897306
9557.0,,Avenue Pasteur,23.0,1300.0,Wavre,Brabant Wallon,,,,,50.7304356,4.5897306
9558.0,,Avenue Pasteur ,6.0,1300.0,Wavre,Brabant Wallon,,,,,50.7289073,4.590567699999999
9559.0,,Avenue Pasteur,6.0,1300.0,Wavre,Brabant Wallon,,,,,50.7289073,4.590567699999999
9560.0,,Avenue Pasteur,6.0,1300.0,Wavre,Brabant Wallon,,,,,50.7289073,4.590567699999999
9561.0,,Avenue Pasteur,4.0,1300.0,Wavre,Brabant Wallon,,,,,50.7291562,4.5894993
9562.0,,Avenue Pasteur,4.0,1300.0,Wavre,Brabant Wallon,,,,,50.7291562,4.5894993
9563.0,,Avenue Pasteur,4.0,1300.0,Wavre,Brabant Wallon,,,,,50.7291562,4.5894993
9564.0,,Avenue Pasteur,4.0,1300.0,Wavre,Brabant Wallon,,,,,50.7291562,4.5894993
9565.0,,Avenue Pasteur ,2.0,1300.0,Wavre,Brabant Wallon,,,,,50.7288327,4.5905395
9566.0,,Avenue Pasteur,2.0,1300.0,Wavre,Brabant Wallon,,,,,50.7288327,4.5905395
9567.0,,Avenue Pasteur ,2.0,1300.0,Wavre,Brabant Wallon,,,,,50.7288327,4.5905395
9568.0,,Rue Poyoux Sart ,29.0,4500.0,Tihange,Liège,,,,,50.52067659999999,5.2719003
9569.0,,Brugesteenweg,49.0,8620.0,Nieuwpoort,West-Vlaanderen,,,,,51.1297034,2.7674994
9570.0,,Bassevillestraat,141.0,8434.0,Westende,West-Vlaanderen,,,,,51.1576128,2.7605025
9571.0,,Place Communale,9.0,6800.0,Libramont-Chevigny,Luxembourg,,,,,49.9153321,5.3762606
9572.0,,Priemstraat,57.0,1000.0,Brussel,Bruxelles-Brussel,,,,,50.8416688,4.347868
9573.0,,Molsebaan,1.0,2470.0,Retie,Antwerpen,,,,,51.2628242,5.0895381
9574.0,,Fotografielaan,,2610.0,Wilrijk,Antwerpen,,,,,51.1558065,4.3675352
9575.0,,Fotografielaan,,2610.0,Wilrijk,Antwerpen,,,,,51.1558065,4.3675352
9576.0,,Koning Leopoldlaan,9.0,2870.0,Breendonk,Antwerpen,,,,,51.0350727,4.3264172
9577.0,,Frans Beirenslaan,,2150.0,Borsbeek,Antwerpen,,,,,51.193497,4.4781605
9578.0,,Warande,9.0,8501.0,Heule,West-Vlaanderen,,,,,50.84399930000001,3.2404419
9579.0,,Jagershoek,21.0,8570.0,Vichte,West-Vlaanderen,,,,,50.8394086,3.3882985
9580.0,,Medialaan ,50.0,1800.0,Vilvoorde,Vlaams-Brabant,,,,,50.9147088,4.394787
9581.0,,Kampstraat ,1.0,8840.0,Staden,West-Vlaanderen,,,,,50.9503381,2.9792989
9582.0,,Meulebroeklaan,7.0,8840.0,Staden,West-Vlaanderen,,,,,50.9746511,3.0145745
9583.0,,Marktplaats,2.0,8840.0,Staden,West-Vlaanderen,,,,,50.9745627,3.0140656
